"COTS cull dive id","Vessel","Voyage","Site name","Reef name","Reef label","Voyage start","Voyage end","Survey date","Depth (m)","Bottomtime","Cohort 1 (< 15cm)","Cohort 2 (15cm - 25cm","Cohort 3 (25cm - 40cm)","Cohort 4 (> 40cm)","Dive type","Latitude","Longitude","Created on","Created by"
19807,"Capricorn Star","28","FIT_16-054a_1","Fitzroy Island Reef (No 1) (16-054a)","16-054a",26/09/2023,10/10/2023,07/11/2023,3,5,1,3,6,0,"Site Coverage Complete",-16.9269474384639,145.9887576929833,07/11/2023,"LEDEEE"
19803,"Odyssey","104","DAV_18-096_13","Davies Reef (18-096)","18-096",30/07/2023,09/08/2023,15/08/2023,14,156,0,2,3,5,"Site Coverage Complete",-18.844657080104703,147.64274816028785,15/08/2023,"POTIERJ"
19805,"Odyssey","104","DAV_18-096_13","Davies Reef (18-096)","18-096",30/07/2023,09/08/2023,15/08/2023,5,114,0,0,0,0,"Site Coverage Complete",-18.844657080104703,147.64274816028785,15/08/2023,"POTIERJ"
19806,"Odyssey","104","DAV_18-096_14","Davies Reef (18-096)","18-096",30/07/2023,09/08/2023,15/08/2023,17,117,0,2,4,6,"Site Coverage Complete",-18.847781087934916,147.6382204743083,15/08/2023,"POTIERJ"
19804,"Odyssey","104","DAV_18-096_14","Davies Reef (18-096)","18-096",30/07/2023,09/08/2023,15/08/2023,8,192,1,0,4,3,"Site Coverage Complete",-18.847781087934916,147.6382204743083,15/08/2023,"POTIERJ"
19795,"Odyssey","104","BAN_18-105a_3","Banfield Reef (North) (18-105a)","18-105a",30/07/2023,09/08/2023,14/08/2023,15,96,0,1,1,2,"Site Coverage Incomplete",-18.92502800284651,147.90298400762074,15/08/2023,"POTIERJ"
19800,"Odyssey","104","BAN_18-105a_3","Banfield Reef (North) (18-105a)","18-105a",30/07/2023,09/08/2023,14/08/2023,3,105,2,2,0,0,"Site Coverage Incomplete",-18.92502800284651,147.90298400762074,15/08/2023,"POTIERJ"
19798,"Odyssey","104","BAN_18-105a_4","Banfield Reef (North) (18-105a)","18-105a",30/07/2023,09/08/2023,14/08/2023,11,156,6,3,4,4,"Site Coverage Incomplete",-18.928970004690107,147.90144101029045,15/08/2023,"POTIERJ"
19799,"Odyssey","104","BAN_18-105a_4","Banfield Reef (North) (18-105a)","18-105a",30/07/2023,09/08/2023,14/08/2023,4,75,5,4,0,0,"Site Coverage Complete",-18.928970004690107,147.90144101029045,15/08/2023,"POTIERJ"
19793,"Odyssey","104","BAN_18-105a_4","Banfield Reef (North) (18-105a)","18-105a",30/07/2023,09/08/2023,14/08/2023,8,204,9,13,2,0,"Site Coverage Incomplete",-18.928970004690107,147.90144101029045,15/08/2023,"POTIERJ"
19794,"Odyssey","104","BAN_18-105a_4","Banfield Reef (North) (18-105a)","18-105a",30/07/2023,09/08/2023,14/08/2023,12,128,4,9,7,5,"Site Coverage Complete",-18.928970004690107,147.90144101029045,15/08/2023,"POTIERJ"
19801,"Odyssey","104","BAN_18-105a_12","Banfield Reef (North) (18-105a)","18-105a",30/07/2023,09/08/2023,14/08/2023,8,240,10,9,25,46,"Site Coverage Incomplete",-18.906911007661936,147.89235901321092,15/08/2023,"POTIERJ"
19802,"Odyssey","104","BAN_18-105a_12","Banfield Reef (North) (18-105a)","18-105a",30/07/2023,09/08/2023,14/08/2023,5,180,9,16,34,70,"Site Coverage Complete",-18.906911007661936,147.89235901321092,15/08/2023,"POTIERJ"
19796,"Odyssey","104","BAN_18-105a_12","Banfield Reef (North) (18-105a)","18-105a",30/07/2023,09/08/2023,14/08/2023,6,240,3,20,31,90,"Site Coverage Incomplete",-18.906911007661936,147.89235901321092,15/08/2023,"POTIERJ"
19797,"Odyssey","104","BAN_18-105a_12","Banfield Reef (North) (18-105a)","18-105a",30/07/2023,09/08/2023,14/08/2023,6,232,5,20,43,139,"Site Coverage Complete",-18.906911007661936,147.89235901321092,15/08/2023,"POTIERJ"
19789,"Odyssey","104","BAN_18-105a_12","Banfield Reef (North) (18-105a)","18-105a",30/07/2023,09/08/2023,13/08/2023,5,240,7,11,20,27,"Site Coverage Incomplete",-18.906911007661936,147.89235901321092,15/08/2023,"POTIERJ"
19790,"Odyssey","104","BAN_18-105a_12","Banfield Reef (North) (18-105a)","18-105a",30/07/2023,09/08/2023,13/08/2023,7,188,8,18,63,68,"Site Coverage Incomplete",-18.906911007661936,147.89235901321092,15/08/2023,"POTIERJ"
