"COTS Surveillance Id","Tow time","Vessel","Voyage","Reef label","Reef name","Start lat","Start long","End lat","End long","Distance (m)","Average speed (km/h)","COTS observed","Feeding scars","Hard coral","Soft coral","Dead coral","Created on","Created by","Updated on","Updated by"
104503,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-15.019102,145.6967644,-15.017562,145.6971029,187.6,5.65,0,"a","3+","2+","0",18/07/2022,"DATA_MIGRATION",,
104411,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-15.0174441,145.6972353,-15.0163588,145.6983338,179.4,5.4,0,"a","2+","2-","0",18/07/2022,"DATA_MIGRATION",,
104412,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-15.0161932,145.6982785,-15.0149502,145.6991853,185.1,5.62,0,"a","3-","2+","0",18/07/2022,"DATA_MIGRATION",,
104568,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-15.0147069,145.6993468,-15.0133099,145.699955,177.8,5.36,0,"a","3+","3-","0",18/07/2022,"DATA_MIGRATION",,
104504,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-15.0132138,145.7001273,-15.0116851,145.7006927,194.9,5.87,0,"a","2+","2+","0",18/07/2022,"DATA_MIGRATION",,
104413,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-15.011519999999999,145.7008883,-15.0105107,145.7015133,170.7,5.15,0,"a","2-","1-","0",18/07/2022,"DATA_MIGRATION",,
104505,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-15.0103627,145.7016034,-15.0088349,145.7020276,191.9,5.8,0,"a","2-","1+","0",18/07/2022,"DATA_MIGRATION",,
104414,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-15.0087404,145.7021743,-15.0078198,145.7031179,156,4.72,0,"a","2-","1+","1-",18/07/2022,"DATA_MIGRATION",,
104506,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-15.0074743,145.703442,-15.0061385,145.7037805,176,5.33,0,"a","2-","1+","0",18/07/2022,"DATA_MIGRATION",,
104415,01/07/2022,"QPWS Reef Ranger","FMPCR22-04","14-154","Ribbon No 9 Reef (14-154)",-15.0057762,145.7039387,-15.0043337,145.7041567,186,4.97,0,"a","2-","1-","0",18/07/2022,"DATA_MIGRATION",,
