"COTS Cull Dive Id","Vessel","Voyage","Site name","Reef name","Reef label","Voyage start","Voyage end","Survey date","Depth (m)","Bottomtime","Cohort 1 (< 15cm)","Cohort 2 (15cm - 25cm","Cohort 3 (25cm - 40cm)","Cohort 4 (> 40cm)","Dive type","Latitude","Longitude","Created on","Created by"
16112,"Reef Prince","91","FIT_16-054b_2","Fitzroy Island Reef (No 2) (16-054b)","16-054b",09/12/2022,18/12/2022,28/02/2023,4,5,0,2,0,0,"Site Coverage Complete",-16.93074569848758,145.98651056630263,02/03/2023,"Elodie"
16113,"Gumaroo","FMPCR22-07","FIT_16-054a_1","Fitzroy Island Reef (No 1) (16-054a)","16-054a",17/11/2022,29/11/2022,28/02/2023,5,20,1,0,0,0,"Site Coverage Complete",-16.9269474384639,145.9887576929833,02/03/2023,"Elodie"
16111,"Reef Prince","91","FIT_16-054a_2","Fitzroy Island Reef (No 1) (16-054a)","16-054a",09/12/2022,18/12/2022,28/02/2023,5,10,2,0,0,0,"Site Coverage Complete",-16.92320129121299,145.99130703260948,02/03/2023,"Elodie"
16110,"Kalinda","107","JOH_18-075_100","John Brewer Reef (18-075)","18-075",14/03/2023,23/03/2023,21/02/2023,200,22,55,3,2,2,"Site Coverage Complete",-18.624451433013324,147.04304825411683,21/02/2023,"MOOREJ"
16109,"Kalinda","107","DAV_18-096_10","Davies Reef (18-096)","18-096",14/03/2023,23/03/2023,03/02/2023,3,222,3,5,0,1,"Site Coverage Complete",-18.833283496113577,147.65135583022362,21/02/2023,"MOOREJ"
16101,"Hero","234","U/N_16-054g_1","U/N Reef (16-054g)","16-054g",08/11/2022,22/11/2022,21/11/2022,1,300,0,0,0,0,"Site Coverage Incomplete",-16.92897567132199,146.00492046639596,29/11/2022,"LANEJ"
16102,"Hero","234","U/N_16-054g_1","U/N Reef (16-054g)","16-054g",08/11/2022,22/11/2022,21/11/2022,1,300,0,0,0,0,"Site Coverage Complete",-16.92897567132199,146.00492046639596,29/11/2022,"LANEJ"
16024,"Tura","101","NOR_17-012_2","Normanby-Mabel Reef (17-012)","17-012",08/11/2022,22/11/2022,21/11/2022,1,300,1,2,1,0,"Site Coverage Complete",-17.208846745307955,146.08014954515335,21/11/2022,"PATTIT"
16025,"Tura","101","NOR_17-012_2","Normanby-Mabel Reef (17-012)","17-012",08/11/2022,22/11/2022,21/11/2022,1,300,0,0,0,0,"Site Coverage Complete",-17.208846745307955,146.08014954515335,21/11/2022,"PATTIT"
16026,"Tura","101","NOR_17-012_2","Normanby-Mabel Reef (17-012)","17-012",08/11/2022,22/11/2022,21/11/2022,9,270,0,2,0,0,"Site Coverage Complete",-17.208846745307955,146.08014954515335,21/11/2022,"PATTIT"
16027,"Tura","101","NOR_17-012_2","Normanby-Mabel Reef (17-012)","17-012",08/11/2022,22/11/2022,21/11/2022,8,270,0,0,0,0,"Site Coverage Complete",-17.208846745307955,146.08014954515335,21/11/2022,"PATTIT"
15981,"Venus","148","OPA_16-025_27","Opal Reef (16-025)","16-025",08/11/2022,22/11/2022,21/11/2022,1,300,0,0,1,0,"Site Coverage Incomplete",-16.210096791543272,145.89626917837765,21/11/2022,"SPICERA"
15982,"Venus","148","OPA_16-025_27","Opal Reef (16-025)","16-025",08/11/2022,22/11/2022,21/11/2022,1,300,0,0,0,0,"Site Coverage Complete",-16.210096791543272,145.89626917837765,21/11/2022,"SPICERA"
15979,"Venus","148","OPA_16-025_28","Opal Reef (16-025)","16-025",08/11/2022,22/11/2022,21/11/2022,1,300,0,0,0,0,"Site Coverage Incomplete",-16.205556019232127,145.89822251879863,21/11/2022,"SPICERA"
15980,"Venus","148","OPA_16-025_28","Opal Reef (16-025)","16-025",08/11/2022,22/11/2022,21/11/2022,1,300,0,0,0,0,"Site Coverage Complete",-16.205556019232127,145.89822251879863,21/11/2022,"SPICERA"
16020,"Tura","101","FAR_17-063a_23","Farquharson Reef (No 1) (17-063a)","17-063a",08/11/2022,22/11/2022,20/11/2022,2,300,0,0,0,0,"Site Coverage Complete",-17.789502226132058,146.50388608433173,21/11/2022,"PATTIT"
16021,"Tura","101","FAR_17-063a_23","Farquharson Reef (No 1) (17-063a)","17-063a",08/11/2022,22/11/2022,20/11/2022,2,300,0,0,0,0,"Site Coverage Complete",-17.789502226132058,146.50388608433173,21/11/2022,"PATTIT"
16022,"Tura","101","FAR_17-063a_24","Farquharson Reef (No 1) (17-063a)","17-063a",08/11/2022,22/11/2022,20/11/2022,2,300,0,0,0,0,"Site Coverage Complete",-17.78608612602057,146.5074417428759,21/11/2022,"PATTIT"
16023,"Tura","101","FAR_17-063a_24","Farquharson Reef (No 1) (17-063a)","17-063a",08/11/2022,22/11/2022,20/11/2022,2,300,0,1,0,0,"Site Coverage Complete",-17.78608612602057,146.5074417428759,21/11/2022,"PATTIT"
16098,"Hero","234","BAT_16-029_60","Batt Reef (16-029)","16-029",08/11/2022,22/11/2022,20/11/2022,4,285,1,4,1,0,"Site Coverage Complete",-16.46369535696225,145.7743916568314,29/11/2022,"LANEJ"
16104,"Hero","234","BAT_16-029_60","Batt Reef (16-029)","16-029",08/11/2022,22/11/2022,20/11/2022,4,285,2,5,4,2,"Site Coverage Incomplete",-16.46369535696225,145.7743916568314,29/11/2022,"LANEJ"
16099,"Hero","234","BAT_16-029_61","Batt Reef (16-029)","16-029",08/11/2022,22/11/2022,20/11/2022,4,285,1,6,2,2,"Site Coverage Incomplete",-16.46178000847943,145.7703160078342,29/11/2022,"LANEJ"
16100,"Hero","234","BAT_16-029_61","Batt Reef (16-029)","16-029",08/11/2022,22/11/2022,20/11/2022,4,285,1,5,4,0,"Site Coverage Complete",-16.46178000847943,145.7703160078342,29/11/2022,"LANEJ"
16058,"Blue Planet Marine Voyages","96","U/N_21-553_4","U/N Reef (21-553)","21-553",10/11/2022,22/11/2022,20/11/2022,10,379,1,6,19,22,"Site Coverage Incomplete",-21.982438230222836,152.34266298763413,22/11/2022,"SIMMSR"
16059,"Blue Planet Marine Voyages","96","U/N_21-553_3","U/N Reef (21-553)","21-553",10/11/2022,22/11/2022,20/11/2022,10,318,1,0,4,7,"Site Coverage Complete",-21.983811071694934,152.33870579528346,22/11/2022,"SIMMSR"
15977,"Venus","148","HEL_14-135_9","Helsdon Reef (14-135)","14-135",08/11/2022,22/11/2022,19/11/2022,4,335,0,1,3,0,"Site Coverage Incomplete",-14.964646654437805,145.49205303272115,21/11/2022,"SPICERA"
15978,"Venus","148","HEL_14-135_9","Helsdon Reef (14-135)","14-135",08/11/2022,22/11/2022,19/11/2022,4,335,0,1,1,1,"Site Coverage Complete",-14.964646654437805,145.49205303272115,21/11/2022,"SPICERA"
15975,"Venus","148","HEL_14-135_7","Helsdon Reef (14-135)","14-135",08/11/2022,22/11/2022,19/11/2022,4,335,0,2,1,1,"Site Coverage Incomplete",-14.959880635287835,145.50017448122878,21/11/2022,"SPICERA"
15976,"Venus","148","HEL_14-135_7","Helsdon Reef (14-135)","14-135",08/11/2022,22/11/2022,19/11/2022,5,335,0,1,5,5,"Site Coverage Complete",-14.959880635287835,145.50017448122878,21/11/2022,"SPICERA"
16096,"Hero","234","BAT_16-029_63","Batt Reef (16-029)","16-029",08/11/2022,22/11/2022,19/11/2022,4,335,2,7,4,2,"Site Coverage Incomplete",-16.457304000642946,145.76188841274796,29/11/2022,"LANEJ"
