COTS Cull Dive Id,Vessel,Voyage,Site name,Reef name,Reef label,Voyage start,Voyage end,Survey date,Depth (m),Bottomtime,Cohort 1 (< 15cm),Cohort 2 (15cm - 25cm,Cohort 3 (25cm - 40cm),Cohort 4 (> 40cm),Dive type,Latitude,Longitude,Created on,Created by
16112,Reef Prince,91,FIT_16-054b_2,Fitzroy Island Reef (No 2) (16-054b),16-054b,9/12/2022,18/12/2022,28/02/2023,4,5,0,2,0,0,Site Coverage Complete,-16.9307457,145.9865106,2/03/2023,Elodie
16113,Gumaroo,FMPCR22-07,FIT_16-054a_1,Fitzroy Island Reef (No 1) (16-054a),16-054a,17/11/2022,29/11/2022,28/02/2023,5,20,1,0,0,0,Site Coverage Complete,-16.92694744,145.9887577,2/03/2023,Elodie
16111,Reef Prince,91,FIT_16-054a_2,Fitzroy Island Reef (No 1) (16-054a),16-054a,9/12/2022,18/12/2022,28/02/2023,5,10,2,0,0,0,Site Coverage Complete,-16.92320129,145.991307,2/03/2023,Elodie
16110,Kalinda,107,JOH_18-075_100,John Brewer Reef (18-075),18-075,14/03/2023,23/03/2023,21/02/2023,200,22,55,3,2,2,Site Coverage Complete,-18.62445143,147.0430483,21/02/2023,MOOREJ
16109,Kalinda,107,DAV_18-096_10,Davies Reef (18-096),18-096,14/03/2023,23/03/2023,3/02/2023,3,222,3,5,0,1,Site Coverage Complete,-18.8332835,147.6513558,21/02/2023,MOOREJ
16101,Hero,234,U/N_16-054g_1,U/N Reef (16-054g),16-054g,8/11/2022,22/11/2022,21/11/2022,1,300,0,0,0,0,Site Coverage Incomplete,-16.92897567,146.0049205,29/11/2022,LANEJ
16102,Hero,234,U/N_16-054g_1,U/N Reef (16-054g),16-054g,8/11/2022,22/11/2022,21/11/2022,1,300,0,0,0,0,Site Coverage Complete,-16.92897567,146.0049205,29/11/2022,LANEJ
16024,Tura,101,NOR_17-012_2,Normanby-Mabel Reef (17-012),17-012,8/11/2022,22/11/2022,21/11/2022,1,300,1,2,1,0,Site Coverage Complete,-17.20884675,146.0801495,21/11/2022,PATTIT
16025,Tura,101,NOR_17-012_2,Normanby-Mabel Reef (17-012),17-012,8/11/2022,22/11/2022,21/11/2022,1,300,0,0,0,0,Site Coverage Complete,-17.20884675,146.0801495,21/11/2022,PATTIT
16026,Tura,101,NOR_17-012_2,Normanby-Mabel Reef (17-012),17-012,8/11/2022,22/11/2022,21/11/2022,9,270,0,2,0,0,Site Coverage Complete,-17.20884675,146.0801495,21/11/2022,PATTIT
16027,Tura,101,NOR_17-012_2,Normanby-Mabel Reef (17-012),17-012,8/11/2022,22/11/2022,21/11/2022,8,270,0,0,0,0,Site Coverage Complete,-17.20884675,146.0801495,21/11/2022,PATTIT
15981,Venus,148,OPA_16-025_27,Opal Reef (16-025),16-025,8/11/2022,22/11/2022,21/11/2022,1,300,0,0,1,0,Site Coverage Incomplete,-16.21009679,145.8962692,21/11/2022,SPICERA
15982,Venus,148,OPA_16-025_27,Opal Reef (16-025),16-025,8/11/2022,22/11/2022,21/11/2022,1,300,0,0,0,0,Site Coverage Complete,-16.21009679,145.8962692,21/11/2022,SPICERA
15979,Venus,148,OPA_16-025_28,Opal Reef (16-025),16-025,8/11/2022,22/11/2022,21/11/2022,1,300,0,0,0,0,Site Coverage Incomplete,-16.20555602,145.8982225,21/11/2022,SPICERA
15980,Venus,148,OPA_16-025_28,Opal Reef (16-025),16-025,8/11/2022,22/11/2022,21/11/2022,1,300,0,0,0,0,Site Coverage Complete,-16.20555602,145.8982225,21/11/2022,SPICERA
16020,Tura,101,FAR_17-063a_23,Farquharson Reef (No 1) (17-063a),17-063a,8/11/2022,22/11/2022,20/11/2022,2,300,0,0,0,0,Site Coverage Complete,-17.78950223,146.5038861,21/11/2022,PATTIT
16021,Tura,101,FAR_17-063a_23,Farquharson Reef (No 1) (17-063a),17-063a,8/11/2022,22/11/2022,20/11/2022,2,300,0,0,0,0,Site Coverage Complete,-17.78950223,146.5038861,21/11/2022,PATTIT
16022,Tura,101,FAR_17-063a_24,Farquharson Reef (No 1) (17-063a),17-063a,8/11/2022,22/11/2022,20/11/2022,2,300,0,0,0,0,Site Coverage Complete,-17.78608613,146.5074417,21/11/2022,PATTIT
16023,Tura,101,FAR_17-063a_24,Farquharson Reef (No 1) (17-063a),17-063a,8/11/2022,22/11/2022,20/11/2022,2,300,0,1,0,0,Site Coverage Complete,-17.78608613,146.5074417,21/11/2022,PATTIT
