Capture ID,Vessel,Voyage,Site Name,Reef Name,Reef ID,Voyage Start,Voyage End,Survey Date,Depth (meters),Bottomtime,Cohort 1 (<15cm),Cohort2 (15-25cm),Cohort3 (25-40cm),Cohort4 (>40cm),Longitude,Latitude
2,Venus,52,ARL_16-064_83,Arlington Reef (16-064),16-064,11/Dec/2018 12:00:00 AM,22/Dec/2018 12:00:00 AM,20/Dec/2018 12:00:00 AM,1,320,0,0,0,0,146.0327694,-16.70828891
3,Venus,57,EDD_17-047_21,Eddy Reef (17-047),17-047,19/Feb/2019 12:00:00 AM,28/Feb/2019 12:00:00 AM,26/Feb/2019 12:00:00 AM,1,240,0,0,0,0,146.4324388,-17.77400504
4,Venus,57,EDD_17-047_22,Eddy Reef (17-047),17-047,19/Feb/2019 12:00:00 AM,28/Feb/2019 12:00:00 AM,26/Feb/2019 12:00:00 AM,1,240,0,0,0,0,146.4375578,-17.77264863
5,Venus,57,EDD_17-047_23,Eddy Reef (17-047),17-047,19/Feb/2019 12:00:00 AM,28/Feb/2019 12:00:00 AM,26/Feb/2019 12:00:00 AM,1,240,0,0,0,0,146.4418958,-17.77172388
6,Venus,57,EDD_17-047_25,Eddy Reef (17-047),17-047,19/Feb/2019 12:00:00 AM,28/Feb/2019 12:00:00 AM,26/Feb/2019 12:00:00 AM,1,240,0,0,0,0,146.4456931,-17.76633898
7,Venus,57,EDD_17-047_18,Eddy Reef (17-047),17-047,19/Feb/2019 12:00:00 AM,28/Feb/2019 12:00:00 AM,27/Feb/2019 12:00:00 AM,1,240,0,0,0,0,146.4267365,-17.78200377
8,Venus,57,EDD_17-047_20,Eddy Reef (17-047),17-047,19/Feb/2019 12:00:00 AM,28/Feb/2019 12:00:00 AM,27/Feb/2019 12:00:00 AM,1,240,0,0,0,0,146.427199,-17.77534875
9,Venus,58,EDD_17-047_14,Eddy Reef (17-047),17-047,05/Mar/2019 12:00:00 AM,14/Mar/2019 12:00:00 AM,07/Mar/2019 12:00:00 AM,1,200,0,0,0,0,146.4316025,-17.78166737
10,Venus,58,EDD_17-047_15,Eddy Reef (17-047),17-047,05/Mar/2019 12:00:00 AM,14/Mar/2019 12:00:00 AM,07/Mar/2019 12:00:00 AM,1,200,0,0,0,0,146.4346147,-17.77941561
11,Venus,58,EDD_17-047_16,Eddy Reef (17-047),17-047,05/Mar/2019 12:00:00 AM,14/Mar/2019 12:00:00 AM,07/Mar/2019 12:00:00 AM,1,200,0,0,0,0,146.4339191,-17.77746553
12,Venus,58,EDD_17-047_17,Eddy Reef (17-047),17-047,05/Mar/2019 12:00:00 AM,14/Mar/2019 12:00:00 AM,07/Mar/2019 12:00:00 AM,1,200,0,0,0,0,146.4307045,-17.77906186
13,Venus,60,EDD_17-047_17,Eddy Reef (17-047),17-047,02/Apr/2019 12:00:00 AM,11/Apr/2019 12:00:00 AM,06/Apr/2019 12:00:00 AM,1,240,0,0,0,0,146.4307045,-17.77906186
14,Venus,60,EDD_17-047_28,Eddy Reef (17-047),17-047,02/Apr/2019 12:00:00 AM,11/Apr/2019 12:00:00 AM,06/Apr/2019 12:00:00 AM,1,240,0,0,0,0,146.4436482,-17.76490613
15,Venus,60,EDD_17-047_18,Eddy Reef (17-047),17-047,02/Apr/2019 12:00:00 AM,11/Apr/2019 12:00:00 AM,07/Apr/2019 12:00:00 AM,1,240,0,0,0,0,146.4267365,-17.78200377
16,Venus,61,EDD_17-047_23,Eddy Reef (17-047),17-047,16/Apr/2019 12:00:00 AM,25/Apr/2019 12:00:00 AM,24/Apr/2019 12:00:00 AM,1,280,0,0,0,0,146.4418958,-17.77172388
17,Venus,67,STC_16-019_31,St Crispin Reef (16-019),16-019,09/Jul/2019 12:00:00 AM,18/Jul/2019 12:00:00 AM,13/Jul/2019 12:00:00 AM,1,280,0,0,0,0,145.8521646,-16.09446387
18,Venus,67,STC_16-019_32,St Crispin Reef (16-019),16-019,09/Jul/2019 12:00:00 AM,18/Jul/2019 12:00:00 AM,13/Jul/2019 12:00:00 AM,1,280,0,0,0,0,145.8510792,-16.09031663
19,Venus,71,TON_16-026_147,Tongue Reef (16-026),16-026,17/Sep/2019 12:00:00 AM,26/Sep/2019 12:00:00 AM,25/Sep/2019 12:00:00 AM,1,280,0,0,0,0,145.8235602,-16.36866562
20,Venus,72,TON_16-026_223,Tongue Reef (16-026),16-026,01/Oct/2019 12:00:00 AM,10/Oct/2019 12:00:00 AM,02/Oct/2019 12:00:00 AM,1,137,0,0,0,0,145.8281585,-16.35816797
21,Venus,72,TON_16-026_223,Tongue Reef (16-026),16-026,01/Oct/2019 12:00:00 AM,10/Oct/2019 12:00:00 AM,02/Oct/2019 12:00:00 AM,1,160,0,0,0,0,145.8281585,-16.35816797
22,Venus,72,TON_16-026_224,Tongue Reef (16-026),16-026,01/Oct/2019 12:00:00 AM,10/Oct/2019 12:00:00 AM,02/Oct/2019 12:00:00 AM,1,127,0,0,0,0,145.8300066,-16.36187485
23,Venus,72,TON_16-026_224,Tongue Reef (16-026),16-026,01/Oct/2019 12:00:00 AM,10/Oct/2019 12:00:00 AM,02/Oct/2019 12:00:00 AM,1,160,0,0,0,0,145.8300066,-16.36187485
24,Venus,72,TON_16-026_222,Tongue Reef (16-026),16-026,01/Oct/2019 12:00:00 AM,10/Oct/2019 12:00:00 AM,03/Oct/2019 12:00:00 AM,1,133,0,0,0,0,145.8251729,-16.35461904
25,Venus,72,TON_16-026_279,Tongue Reef (16-026),16-026,01/Oct/2019 12:00:00 AM,10/Oct/2019 12:00:00 AM,04/Oct/2019 12:00:00 AM,1,160,0,0,0,0,145.7450924,-16.32664963
26,Venus,73,CAI_15-086_42,Cairns Reef (15-086),15-086,15/Oct/2019 12:00:00 AM,24/Oct/2019 12:00:00 AM,20/Oct/2019 12:00:00 AM,1,200,0,0,0,0,145.4888827,-15.63089468
27,Venus,75,RIB_15-050_24,Ribbon No 3 Reef (15-050),15-050,12/Nov/2019 12:00:00 AM,21/Nov/2019 12:00:00 AM,19/Nov/2019 12:00:00 AM,1,240,0,0,0,0,145.8048027,-15.47966939
28,Venus,75,RIB_15-050_25,Ribbon No 3 Reef (15-050),15-050,12/Nov/2019 12:00:00 AM,21/Nov/2019 12:00:00 AM,19/Nov/2019 12:00:00 AM,1,240,0,0,0,0,145.802434,-15.47757351
29,Venus,76,EMI_15-082_19,Emily Reef (15-082),15-082,26/Nov/2019 12:00:00 AM,05/Dec/2019 12:00:00 AM,02/Dec/2019 12:00:00 AM,1,243,0,0,0,0,145.6009466,-15.6082681
30,Venus,76,EMI_15-082_19,Emily Reef (15-082),15-082,26/Nov/2019 12:00:00 AM,05/Dec/2019 12:00:00 AM,02/Dec/2019 12:00:00 AM,1,280,0,0,0,0,145.6009466,-15.6082681
31,Venus,76,LAR_15-033_14,Lark Reef (15-033),15-033,26/Nov/2019 12:00:00 AM,05/Dec/2019 12:00:00 AM,04/Dec/2019 12:00:00 AM,1,247,0,0,0,0,145.5797065,-15.27348722
32,Venus,76,LAR_15-033_37,Lark Reef (15-033),15-033,26/Nov/2019 12:00:00 AM,05/Dec/2019 12:00:00 AM,04/Dec/2019 12:00:00 AM,1,250,0,0,0,0,145.6388362,-15.28034508
33,Venus,76,LAR_15-033_37,Lark Reef (15-033),15-033,26/Nov/2019 12:00:00 AM,05/Dec/2019 12:00:00 AM,04/Dec/2019 12:00:00 AM,1,280,0,0,0,0,145.6388362,-15.28034508
34,Venus,79,RIB_14-154_22,Ribbon No 9 Reef (14-154),14-154,07/Jan/2020 12:00:00 AM,17/Jan/2020 12:00:00 AM,11/Jan/2020 12:00:00 AM,1,252,0,0,0,0,145.7016214,-15.00935707
