"Capture ID","Vessel","Voyage","Site Name","Reef Name","Reef ID","Voyage Start","Voyage End","Survey Date","Depth (meters)","Bottomtime","Cohort 1 (<15cm)","Cohort2 (15-25cm)","Cohort3 (25-40cm)","Cohort4 (>40cm)","Longitude","Latitude","error_flag","Nearest Site"
19807,"Capricorn Star","28","FIT_16-054a_1","Fitzroy Island Reef (No 1) (16-054a)","16-054a",2023-09-26,2023-10-10,2023-11-07,3,5,1,3,6,0,145.988757692983,-16.9269474384639,1,1
19803,"Odyssey","104","DAV_18-096_13","Davies Reef (18-096)","18-096",2023-07-30,2023-08-09,2023-08-15,14,156,0,2,3,5,147.642748160288,-18.8446570801047,1,13
19805,"Odyssey","104","DAV_18-096_13","Davies Reef (18-096)","18-096",2023-07-30,2023-08-09,2023-08-15,5,114,0,0,0,0,147.642748160288,-18.8446570801047,1,13
19806,"Odyssey","104","DAV_18-096_14","Davies Reef (18-096)","18-096",2023-07-30,2023-08-09,2023-08-15,17,117,0,2,4,6,147.638220474308,-18.8477810879349,1,14
19804,"Odyssey","104","DAV_18-096_14","Davies Reef (18-096)","18-096",2023-07-30,2023-08-09,2023-08-15,8,192,1,0,4,3,147.638220474308,-18.8477810879349,1,14
19795,"Odyssey","104","BAN_18-105a_3","Banfield Reef (North) (18-105a)","18-105a",2023-07-30,2023-08-09,2023-08-14,15,96,0,1,1,2,147.902984007621,-18.9250280028465,1,3
19800,"Odyssey","104","BAN_18-105a_3","Banfield Reef (North) (18-105a)","18-105a",2023-07-30,2023-08-09,2023-08-14,3,105,2,2,0,0,147.902984007621,-18.9250280028465,1,3
19798,"Odyssey","104","BAN_18-105a_4","Banfield Reef (North) (18-105a)","18-105a",2023-07-30,2023-08-09,2023-08-14,11,156,6,3,4,4,147.90144101029,-18.9289700046901,1,4
19799,"Odyssey","104","BAN_18-105a_4","Banfield Reef (North) (18-105a)","18-105a",2023-07-30,2023-08-09,2023-08-14,4,75,5,4,0,0,147.90144101029,-18.9289700046901,1,4
19793,"Odyssey","104","BAN_18-105a_4","Banfield Reef (North) (18-105a)","18-105a",2023-07-30,2023-08-09,2023-08-14,8,204,9,13,2,0,147.90144101029,-18.9289700046901,1,4
19794,"Odyssey","104","BAN_18-105a_4","Banfield Reef (North) (18-105a)","18-105a",2023-07-30,2023-08-09,2023-08-14,12,128,4,9,7,5,147.90144101029,-18.9289700046901,1,4
19801,"Odyssey","104","BAN_18-105a_12","Banfield Reef (North) (18-105a)","18-105a",2023-07-30,2023-08-09,2023-08-14,8,240,10,9,25,46,147.892359013211,-18.9069110076619,1,12
19802,"Odyssey","104","BAN_18-105a_12","Banfield Reef (North) (18-105a)","18-105a",2023-07-30,2023-08-09,2023-08-14,5,180,9,16,34,70,147.892359013211,-18.9069110076619,1,12
19796,"Odyssey","104","BAN_18-105a_12","Banfield Reef (North) (18-105a)","18-105a",2023-07-30,2023-08-09,2023-08-14,6,240,3,20,31,90,147.892359013211,-18.9069110076619,1,12
19797,"Odyssey","104","BAN_18-105a_12","Banfield Reef (North) (18-105a)","18-105a",2023-07-30,2023-08-09,2023-08-14,6,232,5,20,43,139,147.892359013211,-18.9069110076619,1,12
19789,"Odyssey","104","BAN_18-105a_12","Banfield Reef (North) (18-105a)","18-105a",2023-07-30,2023-08-09,2023-08-13,5,240,7,11,20,27,147.892359013211,-18.9069110076619,1,12
19790,"Odyssey","104","BAN_18-105a_12","Banfield Reef (North) (18-105a)","18-105a",2023-07-30,2023-08-09,2023-08-13,7,188,8,18,63,68,147.892359013211,-18.9069110076619,1,12
19791,"Odyssey","104","BAN_18-105a_12","Banfield Reef (North) (18-105a)","18-105a",2023-07-30,2023-08-09,2023-08-13,6,240,11,21,21,45,147.892359013211,-18.9069110076619,1,12
19792,"Odyssey","104","BAN_18-105a_12","Banfield Reef (North) (18-105a)","18-105a",2023-07-30,2023-08-09,2023-08-13,8,188,4,4,22,46,147.892359013211,-18.9069110076619,1,12
19772,"Flying Fish V","112","LAM_23-076_12","Lamont Reef (23-076)","23-076",2023-08-02,2023-08-14,2023-08-13,5,350,0,0,1,1,152.033707594702,-23.6024919253351,0,12
19773,"Flying Fish V","112","LAM_23-076_15","Lamont Reef (23-076)","23-076",2023-08-02,2023-08-14,2023-08-13,7,373,0,2,1,0,152.04578410354,-23.5943809331972,0,15
19774,"Flying Fish V","112","LAM_23-076_16","Lamont Reef (23-076)","23-076",2023-08-02,2023-08-14,2023-08-13,8,270,0,0,0,0,152.050293669482,-23.5921665265498,0,16
19781,"Odyssey","104","DAV_18-096_31","Davies Reef (18-096)","18-096",2023-07-30,2023-08-09,2023-08-12,10,144,0,0,1,2,147.628670986847,-18.8358350098235,1,31
